"","playerShort","player","club","leagueCountry","birthday","height","weight","position","games","victories","ties","defeats","goals","yellowCards","yellowReds","redCards","photoID","rater1","rater2","refNum","refCountry","Alpha_3","meanIAT","nIAT","seIAT","meanExp","nExp","seExp","avrate","age","cards"
"17","luka-modric","Luka Modrić","Real Madrid","Spain",1985-09-09,174,65,"Middle",3,2,1,0,1,0,0,0,"38680.jpg",0,0,578,"15","TUR",0.354707276872691,656,0.000606285365051553,0.182080924855491,692,0.00271720092129921,0,27.3315068493151,"0"
"18","chris-baird","Chris Baird","Fulham FC","England",1982-02-25,186,77,"Middle",1,0,1,0,0,0,0,0,"8252.jpg",0,0,1633,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,30.8712328767123,"0"
"19","ibai"," Ibai","Athletic Bilbao","Spain",1989-11-11,177,72,"Front",1,0,1,0,1,0,0,0,"171366.jpg",0,0,2176,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0,23.1561643835616,"0"
"20","florian-marange","Florian Marange","Girondins Bordeaux","France",1986-03-03,176,70,"Back",8,2,4,2,0,0,0,0,"29944.jpg",0,0,282,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0,26.8520547945205,"0"
"21","joseph-akpala","Joseph Akpala","Werder Bremen","Germany",1986-08-24,184,81,"Front",2,2,0,0,0,0,0,0,"55222.jpg",1,1,2155,"15","TUR",0.354707276872691,656,0.000606285365051553,0.182080924855491,692,0.00271720092129921,1,26.3753424657534,"0"
"22","stephen-warnock","Stephen Warnock","Bolton Wanderers","England",1981-12-12,183,77,"Back",1,0,1,0,0,0,0,0,"3694.jpg",0,0,1098,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,31.0767123287671,"0"
"23","shinji-okazaki","Shinji Okazaki","VfB Stuttgart","Germany",1986-04-16,173,70,"Front",1,1,0,0,1,0,0,0,"45985.jpg",0.25,0.25,1387,"11","ZAF",0.372072316937976,2795,0.000162572096428995,0.627717391304348,2944,0.000929887106142013,0.25,26.7315068493151,"0"
"24","lukas-podolski","Lukas Podolski","Arsenal FC","England",1985-06-04,180,80,"Front",1,1,0,0,0,0,0,0,"11272.jpg",0,0,2420,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0,27.5972602739726,"0"
"25","gareth-bale","Gareth Bale","Tottenham Hotspur","England",1989-07-16,183,74,"Front",1,0,0,1,0,0,0,0,"60075.jpg",0.25,0.25,2546,"57","AUT",0.337539293106427,1319,0.000331326009106019,0.394139194139194,1365,0.00171672097335431,0.25,23.4794520547945,"0"
"26","bernd-nehrig","Bernd Nehrig","SpVgg Greuther Fürth","Germany",1986-09-28,180,79,"Middle",8,5,0,3,1,2,1,0,"36504.jpg",0,0,1646,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,26.2794520547945,"1"
"27","amorebieta"," Amorebieta","Athletic Bilbao","Spain",1985-03-29,192,85,"Back",1,0,1,0,0,0,0,0,"34979.jpg",0,0,1288,"55","HRV",0.357363192521689,367,0.00109887946230841,0.449468085106383,376,0.00487709184383436,0,27.7808219178082,"0"
"28","diego-alves"," Diego Alves","Valencia CF","Spain",1985-06-24,188,85,"Goalkeeper",1,1,0,0,0,0,0,0,"73068.jpg",0.25,0.5,1730,"65","ISR",0.379423514616172,925,0.000463753211371217,0.559375,960,0.00192721194843895,0.375,27.5424657534247,"0"
"29","nino"," Nino","CA Osasuna","Spain",1980-06-10,169,68,"Front",13,4,5,4,1,2,0,0,"53941.jpg",0,0.25,449,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.125,32.5835616438356,"1"
"30","ramires"," Ramires","Chelsea FC","England",1987-03-24,180,64,"Middle",1,0,1,0,0,1,0,0,"84287.jpg",1,1,157,"31","BRA",0.368946043450887,2411,0.000173380525321351,0.637171717171717,2475,0.000913419518050977,1,25.7945205479452,"1"
"31","rasmus-joensson","Rasmus Jönsson","VfL Wolfsburg","Germany",1990-01-27,192,70,"Front",1,0,0,1,0,0,0,0,"110740.jpg",0,0,763,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,22.9452054794521,"0"
"32","serdar-tasci","Serdar Taşçı","VfB Stuttgart","Germany",1987-04-24,186,75,"Back",2,0,2,0,0,0,0,0,"36501.jpg",0.25,0.25,2576,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,25.7095890410959,"0"
"33","goran-popov","Goran Popov","West Bromwich Albion","England",1984-10-02,189,89,"Back",2,1,0,1,0,1,0,0,"19039.jpg",0,0.25,2951,"22","POL",0.369957542899207,1021,0.000412290464887037,0.831267874165872,1049,0.00203359119063967,0.125,28.2684931506849,"1"
"34","stephen-warnock","Stephen Warnock","Bolton Wanderers","England",1981-12-12,183,77,"Back",1,0,0,1,0,0,0,0,"3694.jpg",0,0,2426,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0,31.0767123287671,"0"
"35","sebastian-tyrala","Sebastian Tyrała","SpVgg Greuther Fürth","Germany",1988-02-22,172,78,"Middle",1,1,0,0,0,0,0,0,"35075.jpg",0,0,1872,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,24.8767123287671,"0"
"36","jake-livermore","Jake Livermore","Tottenham Hotspur","England",1989-11-14,180,77,"Middle",1,0,0,1,0,0,0,0,"125592.jpg",0.25,0.25,2186,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,23.1479452054795,"0"
"37","lucas-wilchez","Lucas Wilchez","Real Zaragoza","Spain",1983-08-31,177,72,"Middle",1,1,0,0,0,0,0,0,"95212.jpg",0.25,0.5,2700,"49","ARG",0.379421809264057,1038,0.000402667965213078,0.632987910189983,1158,0.00209584096170289,0.375,29.358904109589,"0"
"38","tim-howard","Tim Howard","Everton FC","England",1979-03-06,195,88,"Goalkeeper",1,1,0,0,0,0,0,0,"12074.jpg",0.25,0.25,2420,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0.25,33.8493150684931,"0"
"39","nikolce-noveski","Nikolče Noveski","1. FSV Mainz 05","Germany",1979-04-28,190,87,"Back",1,0,1,0,0,0,0,0,"8781.jpg",0.25,0.25,857,"71","NOR",0.340606125012073,4949,8.25381870357804e-05,0.692824251726784,5212,0.000391053374455635,0.25,33.7041095890411,"0"
"40","julio-cesar_4"," Júlio César","Queens Park Rangers","England",1979-09-03,186,79,"Goalkeeper",2,1,1,0,0,0,0,0,"22961.jpg",0,0.25,3015,"47","PER",0.398503325954886,254,0.00168181777414906,0.697416974169742,271,0.00870673857738692,0.125,33.3534246575342,"0"
"41","marko-marin","Marko Marin","Chelsea FC","England",1989-03-13,170,63,"Middle",1,1,0,0,0,0,0,0,"60187.jpg",0.25,0,2796,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.125,23.8219178082192,"0"
"42","peter-odemwingie","Peter Odemwingie","West Bromwich Albion","England",1981-07-15,182,75,"Front",1,0,1,0,0,0,0,0,"16427.jpg",0.5,0.5,788,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0.5,31.4876712328767,"0"
"43","jan-polak","Jan Polák","VfL Wolfsburg","Germany",1981-03-14,181,77,"Middle",3,2,1,0,0,1,0,0,"24500.jpg",0,0,1931,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,31.8246575342466,"1"
"44","sergio-escudero_3"," Sergio Escudero","FC Schalke 04","Germany",1989-09-02,176,67,"Back",1,1,0,0,0,0,0,0,"144647.jpg",0,0.25,985,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.125,23.3479452054795,"0"
"45","anton-putsila","Anton Putsila","SC Freiburg","Germany",1987-06-10,180,74,"Middle",1,0,1,0,1,1,0,0,"35398.jpg",0,0.25,1905,"28","IRL",0.355498137405798,4078,9.83213148637282e-05,0.517225106182161,4238,0.000404579006949242,0.125,25.5808219178082,"1"
"46","hanno-balitsch","Hanno Balitsch","1. FC Nürnberg","Germany",1981-01-02,182,80,"Middle",1,0,0,1,0,0,0,0,"461.jpg",0,0,1679,"1","GRC",0.326391469021736,712,0.000564112354334542,0.396,750,0.0026964901062936,0,32.0191780821918,"0"
"47","julian-draxler","Julian Draxler","FC Schalke 04","Germany",1993-09-20,185,74,"Middle",1,1,0,0,0,0,0,0,"174213.jpg",0,0,1005,"84","LTU",0.452174541730112,193,0.00228859891209001,1.32338308457711,201,0.0121762553343907,0,19.2958904109589,"0"
"48","robbie-kruse","Robbie Kruse","Fortuna Düsseldorf","Germany",1988-10-05,179,70,"Middle",2,1,1,0,0,1,0,0,"67188.jpg",0,0,1108,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,24.2575342465753,"1"
"49","jonathan-schmid","Jonathan Schmid","SC Freiburg","Germany",1990-06-26,179,77,"Middle",1,1,0,0,0,0,0,0,"149628.jpg",0,0,297,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,22.5342465753425,"0"
"50","tom-trybull","Tom Trybull","Werder Bremen","Germany",1993-03-09,181,72,"Middle",2,1,0,1,0,1,0,0,"174531.jpg",0,0.25,2936,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.125,19.8301369863014,"1"
"51","llorente_3"," Llorente","CA Osasuna","Spain",1979-11-24,185,72,"Front",1,0,1,0,0,0,0,0,"61976.jpg",0,0,1554,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0,33.1287671232877,"0"
"52","tamas-hajnal","Tamás Hajnal","VfB Stuttgart","Germany",1981-03-15,170,67,"Middle",2,0,1,1,0,1,0,0,"159.jpg",0.25,0.25,1927,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,31.8219178082192,"1"
"53","marc-antoine-fortune","Marc-Antoine Fortuné","West Bromwich Albion","England",1981-07-02,182,81,"Front",3,1,1,1,0,0,0,0,"36877.jpg",1,0.75,637,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.875,31.5232876712329,"0"
"54","vito-mannone","Vito Mannone","Arsenal FC","England",1988-03-02,187,80,"Goalkeeper",1,1,0,0,0,0,0,0,"58687.jpg",0,0,2974,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,24.8520547945205,"0"
"55","jacopo-sala","Jacopo Sala","Hamburger SV","Germany",1991-12-05,185,72,"Middle",1,1,0,0,0,0,0,0,"168008.jpg",0.25,0,203,"48","ITA",0.386174222081355,1761,0.000231960305102268,0.529815303430079,1895,0.00109116754271949,0.125,21.0904109589041,"0"
"56","tiago_3"," Tiago","Atlético Madrid","Spain",1981-05-02,183,71,"Middle",1,1,0,0,0,0,0,0,"15650.jpg",0,0,845,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0,31.6904109589041,"0"
"57","alain-traore_2","Alain Traoré","FC Lorient","France",1988-12-31,176,66,"Middle",3,2,1,0,1,0,0,0,"52412.jpg",1,1,409,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,1,24.0191780821918,"0"
"58","tunay-torun","Tunay Torun","VfB Stuttgart","Germany",1990-04-21,179,75,"Front",1,0,0,1,0,0,0,0,"94443.jpg",0.25,0.25,756,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,22.7150684931507,"0"
"59","chris-baird","Chris Baird","Fulham FC","England",1982-02-25,186,77,"Middle",4,1,1,2,0,1,0,0,"8252.jpg",0,0,233,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,30.8712328767123,"1"
"60","roque-santa-cruz","Roque Santa Cruz","Málaga CF","Spain",1981-08-16,191,83,"Front",2,1,0,1,0,1,0,0,"119.jpg",0.5,0.5,1213,"49","ARG",0.379421809264057,1038,0.000402667965213078,0.632987910189983,1158,0.00209584096170289,0.5,31.4,"1"
"61","arouna-kone","Arouna Koné","Wigan Athletic","England",1983-11-11,181,81,"Front",1,0,0,1,0,0,0,0,"19830.jpg",1,1,2244,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,1,29.1616438356164,"0"
"62","mehmet-ekici","Mehmet Ekici","Werder Bremen","Germany",1990-03-25,180,79,"Middle",1,0,1,0,0,0,0,0,"97330.jpg",0.25,0.25,491,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,22.7890410958904,"0"
"63","steven-pienaar","Steven Pienaar","Everton FC","England",1982-03-17,176,66,"Middle",1,0,0,1,0,0,0,0,"1604.jpg",0.5,0.5,344,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0.5,30.8164383561644,"0"
"64","abou-diaby","Abou Diaby","Arsenal FC","England",1986-05-11,188,75,"Middle",2,1,0,1,0,0,0,0,"24657.jpg",0.75,0.75,2028,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.75,26.6630136986301,"0"
"65","maxwell"," Maxwell","Paris Saint-Germain","France",1981-08-27,175,73,"Back",1,1,0,0,0,0,0,0,"3505.jpg",0.25,0.25,1424,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0.25,31.3698630136986,"0"
"66","salomon-kalou","Salomon Kalou","Lille OSC","France",1985-08-05,184,77,"Front",5,4,0,1,6,0,0,0,"15950.jpg",0.75,0.75,2487,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0.75,27.427397260274,"0"
"67","milan-petrzela","Milan Petržela","FC Augsburg","Germany",1983-06-19,175,65,"Middle",1,0,0,1,0,0,0,0,"33017.jpg",0,0,344,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0,29.558904109589,"0"
"68","mike-hanke","Mike Hanke","Bor. Mönchengladbach","Germany",1983-11-05,185,85,"Front",4,1,1,2,2,1,0,0,"2119.jpg",0,0,899,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,29.1780821917808,"1"
"69","martin-skrtel","Martin Škrtel","Liverpool FC","England",1984-12-15,191,81,"Back",10,3,6,1,2,2,0,0,"25683.jpg",0,0,2028,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,28.0657534246575,"1"
"70","tono"," Toño","Granada CF","Spain",1979-12-17,182,82,"Goalkeeper",1,1,0,0,0,0,0,0,"33514.jpg",0,0,755,"45","SCOT",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0,33.0657534246575,"0"
"71","saul"," Saúl","Deportivo La Coruña","Spain",1985-04-09,176,70,"Middle",5,3,1,1,0,1,0,0,"48787.jpg",0,0.25,1510,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.125,27.7506849315069,"1"
"72","frank-lampard","Frank Lampard","Chelsea FC","England",1978-06-20,183,77,"Middle",1,1,0,0,1,0,0,0,"8351.jpg",0,0.25,344,"64","NLD",0.352919999547478,5952,7.03582481284802e-05,0.445678810651854,6121,0.000268530331399279,0.125,34.558904109589,"0"
"73","riki"," Riki","Deportivo La Coruña","Spain",1980-08-11,187,84,"Front",14,7,5,2,5,2,0,0,"24794.jpg",0,0,468,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0,32.413698630137,"1"
"74","david-yelldell","David Yelldell","Bayer Leverkusen","Germany",1981-10-01,194,88,"Goalkeeper",3,2,1,0,0,0,0,0,"11967.jpg",0.75,0.75,375,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.75,31.2739726027397,"0"
"75","rene-adler","René Adler","Hamburger SV","Germany",1985-01-15,191,87,"Goalkeeper",20,8,4,8,0,1,0,0,"9251.jpg",0.25,0.25,933,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,27.9808219178082,"1"
"76","matija-nastasic","Matija Nastasić","Manchester City","England",1993-03-28,187,79,"Back",1,1,0,0,1,0,0,0,"167504.jpg",0,0.25,837,"46","ALB",0.301277692020467,794,0.000580144240914952,0.349583828775268,841,0.00319090691650435,0.125,19.7780821917808,"0"
"77","tim-howard","Tim Howard","Everton FC","England",1979-03-06,195,88,"Goalkeeper",1,0,0,1,0,0,0,0,"12074.jpg",0.25,0.25,2619,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.25,33.8493150684931,"0"
"78","alfaro_2"," Alfaro","RCD Mallorca","Spain",1986-11-23,175,73,"Middle",7,2,1,4,2,1,0,0,"48545.jpg",0.25,0.25,1522,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,26.1260273972603,"1"
"79","ronny-garbuschewski","Ronny Garbuschewski","Fortuna Düsseldorf","Germany",1986-02-23,178,75,"Middle",2,2,0,0,1,2,0,0,"38165.jpg",0.5,0.25,1457,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.375,26.8739726027397,"1"
"80","william-kvist","William Kvist","VfB Stuttgart","Germany",1985-02-24,184,78,"Middle",1,0,1,0,0,0,0,0,"25394.jpg",0,0,2939,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,27.8712328767123,"0"
"81","ludovic-obraniak","Ludovic Obraniak","Girondins Bordeaux","France",1984-11-10,171,68,"Middle",4,2,2,0,1,0,0,0,"11659.jpg",0.25,0.25,362,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.25,28.1616438356164,"0"
"82","valeron"," Valerón","Deportivo La Coruña","Spain",1975-06-17,180,72,"Middle",1,1,0,0,0,0,0,0,"1404.jpg",0,0.25,1741,"58","BEL",0.362719752102189,3219,0.0001277386582496,0.568785437182931,3351,0.000574641642598346,0.125,37.5698630136986,"0"
"83","serdar-tasci","Serdar Taşçı","VfB Stuttgart","Germany",1987-04-24,186,75,"Back",1,0,1,0,0,0,0,0,"36501.jpg",0.25,0.25,498,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,25.7095890410959,"0"
"84","mergim-mavraj","Mergim Mavraj","SpVgg Greuther Fürth","Germany",1986-06-09,189,84,"Back",2,1,1,0,0,1,0,0,"44965.jpg",0,0,2966,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0,26.5835616438356,"1"
"85","pallardo"," Pallardó","Levante UD","Spain",1986-06-05,173,73,"Middle",2,1,0,1,0,1,0,0,"33176.jpg",0.25,0.25,468,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,26.5945205479452,"1"
"86","tamas-hajnal","Tamás Hajnal","VfB Stuttgart","Germany",1981-03-15,170,67,"Middle",1,1,0,0,0,1,0,0,"159.jpg",0.25,0.25,2906,"111","ISL",0.378580533449016,332,0.00119097517307104,0.531609195402299,348,0.00426009526028898,0.25,31.8219178082192,"1"
"87","alejandro-dominguez_2","Alejandro Domínguez","Rayo Vallecano","Spain",1981-06-10,175,73,"Front",2,2,0,0,0,1,0,0,"19389.jpg",0.25,0.25,1536,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,31.5835616438356,"1"
"88","ludovic-obraniak","Ludovic Obraniak","Girondins Bordeaux","France",1984-11-10,171,68,"Middle",10,5,3,2,0,0,0,0,"11659.jpg",0.25,0.25,586,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,0.25,28.1616438356164,"0"
"89","azpilicueta_2"," Azpilicueta","Chelsea FC","England",1989-08-28,178,70,"Back",7,3,3,1,0,0,0,0,"79198.jpg",0.25,0.25,2080,"44","ENGL",0.326689683726724,44791,9.63866899097808e-06,0.356445562281524,46916,3.68802247340708e-05,0.25,23.3616438356164,"0"
"90","wes-brown","Wes Brown","Sunderland AFC","England",1979-10-13,185,75,"Back",1,0,1,0,0,0,0,0,"1686.jpg",0.25,0.25,1182,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,33.2438356164384,"0"
"91","djibril-cisse","Djibril Cissé","Queens Park Rangers","England",1981-08-12,183,78,"Front",1,0,0,1,0,0,0,0,"1158.jpg",1,1,1361,"7","FRA",0.334683895844357,2882,0.000150884729853696,0.336100963135171,3011,0.000585966358000684,1,31.4109589041096,"0"
"92","ruben-castro"," Rubén Castro","Real Betis","Spain",1981-06-27,172,69,"Front",1,0,1,0,0,0,0,0,"24776.jpg",0.25,0.25,271,"3","ESP",0.369893594187172,1785,0.000229489640866464,0.588297311544544,1897,0.00100164730649311,0.25,31.5369863013699,"0"
"93","brett-holman","Brett Holman","Aston Villa","England",1984-03-27,176,75,"Middle",1,0,0,1,0,0,0,0,"55300.jpg",0,0,2345,"101","CZE",0.411976316319541,595,0.000712378907208621,0.683946488294314,598,0.00348928950301772,0,28.786301369863,"0"
"94","thibaut-courtois","Thibaut Courtois","Atlético Madrid","Spain",1992-05-11,199,88,"Goalkeeper",1,1,0,0,0,0,0,0,"140652.jpg",0.25,0.25,3099,"8","DEU",0.336628162642721,7749,5.45402511307639e-05,0.335966892400301,7974,0.000225061636579017,0.25,20.6575342465753,"0"
"95","junior-diaz","Júnior Díaz","1. FSV Mainz 05","Germany",1983-09-12,185,76,"Back",1,0,0,1,0,0,0,0,"22976.jpg",0.5,0.75,1631,"19","USA",0.327248753664166,1975803,2.23537294251686e-07,0.459471271435807,2029548,1.04333425479502e-06,0.625,29.3260273972603,"0"
